Provinces,Total Population,Total Barangays,Total Towns/Cities,Total Area
Abra,250985,303,27,4165.25
Agusan del Norte,760413,253,12,3546.86
Agusan del Sur,739367,314,14,9989.52
Aklan,615475,327,17,1821.42
Albay,1374768,720,18,2575.77
Antique,612974,590,18,2729.17
Apayao,124366,133,7,4413.35
Aurora,235750,151,8,3147.32
Basilan,556586,255,13,2817.19
Bataan,853373,237,12,1372.98
Batanes,18831,29,6,219.01
Batangas,2908494,1080,34,3119.75
Benguet,827041,269,14,2826.59
Biliran,179312,132,8,536.01
Bohol,1394329,1109,48,4830.79
Bukidnon,1541308,464,22,10498.59
Bulacan,3708890,569,24,2796.1
Cagayan,1268603,820,29,8965.72
Camarines Norte,629699,282,12,2320.07
Camarines Sur,2068244,1063,37,5497.03
Camiguin,92808,58,5,237.95
Capiz,804952,473,17,2594.64
Catanduanes,271879,315,11,1492.16
Cavite,4344829,803,23,1407.7
Cebu,5151274,1203,53,5247.66
Cotabato,1489762,606,26,9814.12
Davao de Oro,767547,237,11,4479.77
Davao del Norte,1125057,223,11,3426.97
Davao del Sur,2457430,414,11,4607.59
Davao Occidental,317159,105,5,2163.45
Davao Oriental,576343,183,11,5679.64
Dinagat Islands,128117,100,7,1036.34
Eastern Samar,477168,597,23,4660.47
Guimaras,187842,98,5,604.57
Ifugao,207498,176,11,2628.21
Ilocos Norte,609588,559,23,3467.89
Ilocos Sur,706009,768,34,2596
Iloilo,2509525,1901,44,5079.17
Isabela,1697050,1055,37,12414.93
Kalinga,229570,153,8,3231.25
La Union,822352,576,20,1497.7
Laguna,3382193,681,30,1917.95
Lanao del Norte,1086017,506,23,4159.94
Lanao del Sur,1195518,1159,40,13494.37
Leyte,2028728,1641,43,6515.01
Maguindanao del Norte,943500,258,13,4806.25
Maguindanao del Sur,723758,293,24,5838.14
Marinduque,239207,218,6,952.58
Masbate,908920,550,21,4151.78
Metro Manila,13484562,1710,17,612.77
Misamis Occidental,617333,490,17,2055.22
Misamis Oriental,1685302,504,26,3544.32
Mountain Province,158200,144,10,2157.38
Negros Occidental,3223955,662,32,7965.21
Negros Oriental,1432990,557,25,5376.53
Northern Samar,639186,569,24,3692.93
Nueva Ecija,2310134,849,32,5741.72
Nueva Vizcaya,497432,275,15,3975.67
Occidental Mindoro,525354,164,11,5865.71
Oriental Mindoro,908339,426,15,4238.38
Palawan,1246673,433,24,17030.75
Pampanga,2900637,538,22,2062.47
Pangasinan,3163190,1360,48,5451.01
Quezon,2229383,1242,41,9069.6
Quirino,203828,132,6,3323.47
Rizal,3330143,189,14,1331.99
Romblon,308985,219,17,1533.45
Samar,793183,951,26,6048.03
Sarangani,558946,141,7,3601.25
Siquijor,103395,134,6,337.49
Sorsogon,828655,541,15,2119.01
South Cotabato,1672791,225,12,4428.81
Southern Leyte,429573,500,19,1798.61
Sultan Kudarat,854052,249,12,5298.34
Sulu,1000108,410,19,3617.97
Surigao del Norte,534636,335,21,1972.93
Surigao del Sur,642255,309,19,4932.7
Tarlac,1503456,511,18,3053.6
Tawi-Tawi,440276,203,11,3911.87
Zambales,909932,247,14,3830.83
Zamboanga del Norte,1047455,691,27,7301
Zamboanga del Sur,2027902,779,28,4499.46
Zamboanga Sibugay,669840,389,16,3778.14
